,temperature_2m_mean,wind_direction_10m_dominant,precipitation_sum,flood_event,precipitation_sum_lag_1d,temperature_2m_mean_lag_1d,precipitation_sum_lag_2d,temperature_2m_mean_lag_2d,precipitation_sum_lag_3d,temperature_2m_mean_lag_3d,precipitation_sum_rolling_3d,precipitation_sum_rolling_7d,month,day_of_week,day_of_year,week_of_year,is_heavy_rain_today,is_heavy_rain_lag_1d,is_very_heavy_rain_lag_1d,is_3d_rolling_sum_high
2023-05-07,29.14983620053288,216,5.748731182749655,0,1.0780643617771335,23.938364579998215,13.06675485227853,25.893255782071964,5.895744931278706,24.405051430340162,20.04056414533437,209.0608956338421,5,6,127,18,0,0,0,0
2023-05-08,28.019099623143877,252,28.33112232152248,0,5.748731182749655,29.14983620053288,1.0780643617771335,23.938364579998215,13.06675485227853,25.893255782071964,19.893550396805317,150.89669626177235,5,0,128,19,0,0,0,0
2023-05-09,24.18774983357947,107,177.39567024536547,0,28.33112232152248,28.019099623143877,5.748731182749655,29.14983620053288,1.0780643617771335,23.938364579998215,35.15791786604927,151.45705121820276,5,1,129,19,1,0,0,0
2023-05-10,26.153537004344823,220,61.84178265598409,0,177.39567024536547,24.18774983357947,28.33112232152248,28.019099623143877,5.748731182749655,29.14983620053288,211.4755237496376,265.44259552856005,5,2,130,19,0,1,1,1
2023-05-11,25.59004153163446,36,62.881607283704284,0,61.84178265598409,26.153537004344823,177.39567024536547,24.18774983357947,28.33112232152248,28.019099623143877,267.568575222872,293.357870550956,5,3,131,19,0,0,0,1
2023-05-12,24.13044019262924,206,68.05907677323933,0,62.881607283704284,25.59004153163446,61.84178265598409,26.153537004344823,177.39567024536547,24.18774983357947,302.11906018505385,350.3437329033816,5,4,132,19,0,0,0,1
2023-05-13,25.612136285944644,284,57.92654463935232,0,68.05907677323933,24.13044019262924,62.881607283704284,25.59004153163446,61.84178265598409,26.153537004344823,192.78246671292771,405.3360548243424,5,5,133,19,0,0,0,1
2023-05-14,25.281755388572392,301,2.861716678790841,0,57.92654463935232,25.612136285944644,68.05907677323933,24.13044019262924,62.881607283704284,25.59004153163446,188.8672286962959,462.1845351019176,5,6,134,19,0,0,0,1
2023-05-15,25.137418812373433,356,60.21934635544885,0,2.861716678790841,25.281755388572392,57.92654463935232,25.612136285944644,68.05907677323933,24.13044019262924,128.84733809138248,459.2975205979588,5,0,135,20,0,0,0,0
2023-05-16,23.36416084016272,60,68.63610881754217,0,60.21934635544885,25.137418812373433,2.861716678790841,25.281755388572392,57.92654463935232,25.612136285944644,121.00760767359202,491.18574463188514,5,1,136,20,0,0,0,0
